time,MAR_land,RACMO_land
2015-09-09,13.756650,34.823084
2015-09-10,13.180863,42.426863
2015-09-11,9.467580,6.855080
2015-09-12,9.062349,4.603280
2015-09-13,8.750331,2.228803
2015-09-14,8.531692,2.638949
2015-09-15,8.386919,2.203464
2015-09-16,8.291775,2.228662
2015-09-17,8.245621,2.695737
2015-09-18,8.213527,2.319503
2015-09-19,8.189011,3.374527
2015-09-20,8.674187,29.563071
2015-09-21,8.377714,13.241026
2015-09-22,8.211893,3.616540
2015-09-23,8.055783,4.941116
2015-09-24,8.001273,2.806406
2015-09-25,9.966605,3.227228
2015-09-26,7.818555,3.011262
2015-09-27,7.802726,3.693802
2015-09-28,8.108436,3.540812
2015-09-29,7.703631,3.755491
2015-09-30,8.684361,4.333405
2015-10-01,7.645875,4.726174
2015-10-02,7.621137,4.971838
2015-10-03,7.585132,4.996491
2015-10-04,7.547936,4.914921
2015-10-05,7.510556,5.373130
2015-10-06,7.545201,18.710382
2015-10-07,8.412624,18.612517
2015-10-08,8.252406,5.662122
2015-10-09,7.536489,5.641374
2015-10-10,7.221951,4.140741
2015-10-11,7.139075,4.009969
2015-10-12,7.083240,3.910363
2015-10-13,7.033459,3.857750
2015-10-14,6.990989,3.735264
2015-10-15,6.952423,3.668819
2015-10-16,6.910861,3.826926
2015-10-17,7.033625,10.321505
2015-10-18,7.091398,3.768054
2015-10-19,6.846142,3.377750
2015-10-20,6.774076,3.323707
2015-10-21,6.700321,3.272544
2015-10-22,6.644202,3.216451
2015-10-23,6.591542,3.170807
2015-10-24,6.544673,3.124354
2015-10-25,6.503253,3.079405
2015-10-26,6.461771,3.037190
2015-10-27,6.432220,2.991874
2015-10-28,6.471314,3.680834
2015-10-29,6.870597,13.278346
2015-10-30,6.366996,6.491430
2015-10-31,6.333681,2.911298
2015-11-01,6.284195,2.819600
2015-11-02,6.240666,2.778250
2015-11-03,6.196608,2.759177
2015-11-04,6.156291,2.726049
2015-11-05,6.122074,2.705750
2015-11-06,6.087114,2.720357
2015-11-07,6.062396,3.678892
2015-11-08,6.034999,2.630764
2015-11-09,6.007753,2.603000
2015-11-10,5.980614,2.568043
2015-11-11,5.949934,2.564508
2015-11-12,5.928429,2.534436
2015-11-13,5.903976,2.505455
2015-11-14,5.879782,2.488230
2015-11-15,5.855016,2.466055
2015-11-16,5.825445,2.443049
2015-11-17,5.803601,2.421036
2015-11-18,5.776134,2.395941
2015-11-19,5.748098,2.375102
2015-11-20,5.719815,2.356129
2015-11-21,5.686163,2.327971
2015-11-22,5.661424,2.319017
2015-11-23,5.632625,2.293035
2015-11-24,5.603122,2.263115
2015-11-25,5.573528,2.240738
2015-11-26,5.539139,2.225512
2015-11-27,5.512410,2.205068
2015-11-28,5.480730,2.173649
2015-11-29,5.448244,2.166305
2015-11-30,5.415513,2.135925
2015-12-01,5.379064,2.119460
2015-12-02,5.350113,2.100305
2015-12-03,5.317114,2.070178
2015-12-04,5.283679,2.062458
2015-12-05,5.249882,2.033763
2015-12-06,5.212498,2.018336
2015-12-07,5.182258,1.993579
2015-12-08,5.147830,1.970282
2015-12-09,5.113203,1.950834
2015-12-10,5.079464,1.928720
2015-12-11,5.043200,1.909096
2015-12-12,5.014406,1.890990
2015-12-13,4.982772,1.862873
2015-12-14,4.950964,1.842189
2015-12-15,4.919247,1.830748
2015-12-16,4.884491,1.800551
2015-12-17,4.856775,1.781133
2015-12-18,4.826105,1.756953
2015-12-19,4.795522,1.742816
2015-12-20,4.764643,1.716930
2015-12-21,4.730289,1.691430
2015-12-22,4.701895,1.676032
2015-12-23,4.670078,1.655943
2015-12-24,4.639605,1.622293
2015-12-25,4.609238,1.617816
2015-12-26,4.576177,1.586753
2015-12-27,4.549380,1.558147
2015-12-28,4.519206,1.859622
2015-12-29,4.488826,1.519764
2015-12-30,4.458654,1.494969
2015-12-31,4.428477,1.537770
2016-01-01,4.425366,1.463162
2016-01-02,4.398071,1.431340
2016-01-03,4.367530,1.413176
2016-01-04,4.336953,1.396168
2016-01-05,4.306618,1.368137
2016-01-06,4.275412,1.362746
2016-01-07,4.250853,1.338314
2016-01-08,4.223461,1.324987
2016-01-09,4.196167,1.302041
2016-01-10,4.169488,1.284534
2016-01-11,4.139852,1.272200
2016-01-12,4.116096,1.245653
2016-01-13,4.089091,1.236460
2016-01-14,4.062240,1.214568
2016-01-15,4.035903,1.199769
2016-01-16,4.007585,1.175029
2016-01-17,3.984816,1.157856
2016-01-18,3.959521,1.150585
2016-01-19,3.934334,1.119540
2016-01-20,3.908742,1.111145
2016-01-21,3.881680,1.098411
2016-01-22,3.861538,1.278887
2016-01-23,3.838705,2.308293
2016-01-24,3.816186,1.033028
2016-01-25,3.794392,1.116701
2016-01-26,3.770296,0.997935
2016-01-27,3.751198,0.978229
2016-01-28,3.729225,0.963062
2016-01-29,3.707818,0.951357
2016-01-30,3.687219,0.931078
2016-01-31,3.666815,0.923486
2016-02-01,3.644070,0.906493
2016-02-02,3.626742,0.891746
2016-02-03,3.606781,0.876819
2016-02-04,3.586793,0.858687
2016-02-05,3.567087,0.847310
2016-02-06,3.544935,0.834337
2016-02-07,3.528140,0.804292
2016-02-08,3.509023,0.808086
2016-02-09,3.489778,0.787661
2016-02-10,3.470949,0.768930
2016-02-11,3.450116,0.755751
2016-02-12,3.434109,0.744084
2016-02-13,3.415814,0.723606
2016-02-14,3.397376,0.711660
2016-02-15,3.378800,0.691985
2016-02-16,3.358025,0.684253
2016-02-17,3.342521,0.662528
2016-02-18,3.324685,0.658495
2016-02-19,3.306768,0.639922
2016-02-20,3.288738,0.618923
2016-02-21,3.268202,0.628513
2016-02-22,3.252325,0.614831
2016-02-23,3.234223,0.594687
2016-02-24,3.215906,0.588071
2016-02-25,3.197693,0.573939
2016-02-26,3.177648,0.567671
2016-02-27,3.162182,0.556727
2016-02-28,3.144622,0.545900
2016-02-29,3.127379,0.535662
2016-03-01,3.107923,0.525275
2016-03-02,3.092874,0.520076
2016-03-03,3.076159,0.498296
2016-03-04,3.059808,0.507953
2016-03-05,3.043652,0.485817
2016-03-06,3.025792,0.484870
2016-03-07,3.012041,0.466932
2016-03-08,2.996201,0.460482
2016-03-09,2.980141,0.454708
2016-03-10,2.964125,0.458374
2016-03-11,2.946137,0.443422
2016-03-12,2.932447,0.422711
2016-03-13,2.916620,0.841587
2016-03-14,2.901182,3.224962
2016-03-15,2.886481,0.441127
2016-03-16,2.869912,0.435487
2016-03-17,2.857517,0.408125
2016-03-18,2.843306,0.421569
2016-03-19,2.829335,0.392824
2016-03-20,2.815748,0.377682
2016-03-21,2.800290,0.378640
2016-03-22,2.788489,0.375410
2016-03-23,2.774895,0.368083
2016-03-24,2.761714,0.361534
2016-03-25,2.748497,0.361335
2016-03-26,2.733324,0.353316
2016-03-27,2.722068,0.354398
2016-03-28,2.708860,0.347473
2016-03-29,2.695843,0.340512
2016-03-30,2.682945,0.335451
2016-03-31,2.670308,0.336120
2016-04-01,2.656264,0.328800
2016-04-02,2.646206,0.327219
2016-04-03,2.634273,0.317781
2016-04-04,2.622370,0.320937
2016-04-05,2.610581,0.305900
2016-04-06,2.597047,0.302042
2016-04-07,2.587291,0.301000
2016-04-08,2.576131,0.295098
2016-04-09,2.565466,0.293478
2016-04-10,2.554955,6.125020
2016-04-11,2.542601,9.664851
2016-04-12,2.533675,19.347524
2016-04-13,2.523045,29.478755
2016-04-14,2.512774,0.271380
2016-04-15,2.502693,3.932017
2016-04-16,2.491025,0.265575
2016-04-17,2.483155,0.259463
2016-04-18,2.473627,0.257961
2016-04-19,2.464029,0.257462
2016-04-20,2.454319,0.249600
2016-04-21,2.442840,0.248649
2016-04-22,2.434898,0.247119
2016-04-23,2.425479,12.450387
2016-04-24,2.416224,0.239662
2016-04-25,2.407051,0.887320
2016-04-26,2.396087,3.572227
2016-04-27,2.388305,0.850939
2016-04-28,2.378807,19.459263
2016-04-29,2.369422,3.545872
2016-04-30,2.360140,8.134426
2016-05-01,2.349473,5.434841
2016-05-02,2.342333,1.575003
2016-05-03,2.333522,2.235044
2016-05-04,2.324680,5.831580
2016-05-05,2.315853,2.828605
2016-05-06,2.305334,7.304293
2016-05-07,2.297907,7.394947
2016-05-08,2.288886,11.594600
2016-05-09,2.280049,25.050698
2016-05-10,2.271430,48.191511
2016-05-11,2.261329,17.320151
2016-05-12,2.254312,37.615515
2016-05-13,2.245646,43.540573
2016-05-14,2.236975,50.248442
2016-05-15,2.227393,53.189733
2016-05-16,2.218430,28.456896
2016-05-17,2.213426,38.679262
2016-05-18,2.206048,21.416615
2016-05-19,2.197977,31.546702
2016-05-20,2.189633,43.976440
2016-05-21,2.179656,35.947385
2016-05-22,2.172610,33.094064
2016-05-23,2.163933,47.478199
2016-05-24,2.235187,53.144022
2016-05-25,3.478276,29.004770
2016-05-26,2.322810,23.470465
2016-05-27,2.675920,31.186040
2016-05-28,5.917410,30.078033
2016-05-29,3.826846,37.018745
2016-05-30,3.405778,34.906935
2016-05-31,4.693627,37.143338
2016-06-01,18.172633,23.533518
2016-06-02,31.938522,33.164436
2016-06-03,58.061692,43.293665
2016-06-04,43.233719,39.950107
2016-06-05,17.954111,19.961020
2016-06-06,40.276769,32.859740
2016-06-07,38.459057,33.648973
2016-06-08,49.706886,39.872312
2016-06-09,16.012752,42.430193
2016-06-10,10.321288,53.173751
2016-06-11,11.753637,37.423481
2016-06-12,21.983120,45.785345
2016-06-13,9.402565,49.103150
2016-06-14,7.936267,46.466043
2016-06-15,7.868693,52.606908
2016-06-16,10.273260,46.862696
2016-06-17,17.653843,39.162595
2016-06-18,19.357520,38.611622
2016-06-19,3.579209,39.601792
2016-06-20,4.029444,39.898905
2016-06-21,4.821302,38.222761
2016-06-22,6.296887,34.974594
2016-06-23,4.998284,31.552576
2016-06-24,8.561363,40.303426
2016-06-25,8.746641,31.874866
2016-06-26,10.133167,32.477733
2016-06-27,10.483781,42.476705
2016-06-28,11.247578,45.643558
2016-06-29,12.367817,17.011416
2016-06-30,15.583582,17.394430
2016-07-01,19.664805,18.578094
2016-07-02,20.552632,19.178734
2016-07-03,20.820109,18.969415
2016-07-04,21.237431,17.033792
2016-07-05,21.121181,16.893041
2016-07-06,19.579394,16.599253
2016-07-07,19.489199,19.865397
2016-07-08,16.206584,15.588146
2016-07-09,15.428640,15.717629
2016-07-10,15.929084,15.299497
2016-07-11,18.293768,12.356290
2016-07-12,18.348030,10.872394
2016-07-13,15.951288,11.550755
2016-07-14,15.580695,11.383740
2016-07-15,14.877591,11.698908
2016-07-16,14.629850,13.278976
2016-07-17,14.262628,13.747495
2016-07-18,13.843458,13.803004
2016-07-19,13.286954,12.739665
2016-07-20,13.210217,13.433186
2016-07-21,13.936525,13.972218
2016-07-22,14.328917,16.176224
2016-07-23,14.304512,15.673612
2016-07-24,14.720746,16.578112
2016-07-25,13.489656,16.742316
2016-07-26,12.711098,15.315592
2016-07-27,13.036104,14.340411
2016-07-28,12.328846,13.605680
2016-07-29,10.556653,13.508668
2016-07-30,10.788343,14.521129
2016-07-31,9.703212,13.546656
2016-08-01,8.878856,13.290046
2016-08-02,8.361091,11.690584
2016-08-03,8.306316,12.214870
2016-08-04,8.020735,12.313002
2016-08-05,8.709560,11.717914
2016-08-06,9.630499,14.118661
2016-08-07,7.545480,13.674671
2016-08-08,6.768700,11.069932
2016-08-09,6.670829,10.725357
2016-08-10,6.565403,11.049926
2016-08-11,6.454570,10.883486
2016-08-12,6.355333,11.033748
2016-08-13,6.601010,12.521979
2016-08-14,6.604859,11.064608
2016-08-15,6.622624,24.361818
2016-08-16,7.209934,16.154446
2016-08-17,7.138477,8.515886
2016-08-18,7.309690,10.245026
2016-08-19,6.991247,10.843357
2016-08-20,6.701372,8.427371
2016-08-21,6.873192,11.436112
2016-08-22,6.682265,8.674204
2016-08-23,6.308121,7.985911
2016-08-24,5.995962,9.671904
2016-08-25,5.937421,9.105540
2016-08-26,5.221752,9.151536
2016-08-27,6.658493,8.137991
2016-08-28,5.099308,6.994622
2016-08-29,5.458998,9.242816
2016-08-30,5.732877,9.330005
2016-08-31,6.658863,7.508885
2016-09-01,4.860514,8.001689
2016-09-02,4.808844,6.165778
2016-09-03,4.755474,5.725872
2016-09-04,4.702381,6.926775
2016-09-05,4.650487,7.256200
2016-09-06,4.596030,5.287806
2016-09-07,4.547939,7.243212
2016-09-08,5.182106,11.783324
2016-09-09,5.848371,8.559715
2016-09-10,5.902768,7.507746
2016-09-11,6.212675,7.188289
2016-09-12,6.592827,9.232350
2016-09-13,5.530203,4.588743
2016-09-14,4.390908,3.236972
2016-09-15,4.103897,8.429540
2016-09-16,4.058936,8.136284
2016-09-17,3.971362,4.835449
2016-09-18,3.924362,3.478607
2016-09-19,3.887158,2.829588
2016-09-20,3.853608,2.757141
2016-09-21,3.820871,2.682753
2016-09-22,3.799528,3.652241
2016-09-23,3.778929,5.820980
2016-09-24,3.760831,2.549679
2016-09-25,3.865140,2.890624
2016-09-26,3.861174,4.438159
2016-09-27,3.714865,2.432090
2016-09-28,3.699065,2.387762
2016-09-29,3.682719,2.350825
2016-09-30,3.666553,2.326612
2016-10-01,3.647703,2.281146
2016-10-02,3.634222,2.257488
2016-10-03,3.838620,4.961562
2016-10-04,7.296188,9.194409
2016-10-05,3.886094,3.462457
2016-10-06,3.721305,33.220564
2016-10-07,4.755952,2.327763
2016-10-08,3.575016,2.897992
2016-10-09,3.528149,5.883011
2016-10-10,3.488626,4.026326
2016-10-11,3.453759,3.330780
2016-10-12,3.603784,21.530583
2016-10-13,3.887191,8.960677
2016-10-14,3.047560,2.069726
2016-10-15,2.990124,1.966343
2016-10-16,3.028767,2.696927
2016-10-17,3.255098,2.784705
2016-10-18,3.211739,2.101417
2016-10-19,3.318043,7.611832
2016-10-20,4.425996,13.160453
2016-10-21,4.360770,5.373481
2016-10-22,4.399396,12.441244
2016-10-23,3.642603,2.772494
2016-10-24,4.107781,2.842613
2016-10-25,4.017892,1.983984
2016-10-26,4.208634,2.018853
2016-10-27,4.411957,2.049366
2016-10-28,4.621120,2.353377
2016-10-29,4.816224,2.140961
