index,id,coast_id,coast_lat,coast_lon,coast_x,coast_y,domain,elev,lat,lon,upstream,x,y
103,135174,-1,,,-1,-1,land,-1,64.739,-40.782,False,204450,-2772350
104,135210,-1,,,-1,-1,land,14,64.728,-40.640,False,211450,-2773050
105,135241,-1,,,-1,-1,land,46,64.718,-40.420,False,222150,-2773350
106,135247,-1,,,-1,-1,land,5,64.728,-40.755,False,205850,-2773450
107,135272,-1,,,-1,-1,land,-1,64.725,-40.739,False,206650,-2773750
108,135285,-1,,,-1,-1,land,-1,64.723,-40.735,False,206850,-2773950
109,135286,-1,,,-1,-1,land,-1,64.723,-40.729,False,207150,-2773950
110,135296,-1,,,-1,-1,land,-1,64.716,-40.524,False,217150,-2774050
111,135297,-1,,,-1,-1,land,-1,64.715,-40.504,False,218150,-2774050
112,135302,-1,,,-1,-1,land,-1,64.720,-40.682,False,209450,-2774150
113,135315,-1,,,-1,-1,land,-1,64.717,-40.627,False,212150,-2774250
114,135353,-1,,,-1,-1,land,4,64.712,-40.578,False,214550,-2774650
115,135365,-1,,,-1,-1,land,-1,64.712,-40.591,False,213950,-2774750
116,135366,-1,,,-1,-1,land,4,64.707,-40.455,False,220550,-2774750
117,135367,-1,,,-1,-1,land,-1,64.707,-40.447,False,220950,-2774750
118,135412,-1,,,-1,-1,land,18,64.706,-40.542,False,216350,-2775250
119,135456,-1,,,-1,-1,land,-1,64.706,-40.670,False,210150,-2775650
120,135493,-1,,,-1,-1,land,-1,64.700,-40.562,False,215450,-2775950
121,135532,-1,,,-1,-1,land,4,64.696,-40.575,False,214850,-2776450
122,135605,-1,,,-1,-1,land,-1,64.690,-40.671,False,210250,-2777450
123,135606,-1,,,-1,-1,land,-1,64.685,-40.509,False,218150,-2777450
124,135668,-1,,,-1,-1,land,-1,64.684,-40.678,False,209950,-2778150
125,135732,-1,,,-1,-1,land,-1,64.678,-40.648,False,211450,-2778750
126,135736,-1,,,-1,-1,land,-1,64.675,-40.562,False,215650,-2778750
127,135749,-1,,,-1,-1,land,-1,64.672,-40.499,False,218750,-2778850
128,135773,-1,,,-1,-1,land,-1,64.673,-40.606,False,213550,-2779150
129,135825,-1,,,-1,-1,land,5,64.662,-40.583,False,214750,-2780350
130,135844,-1,,,-1,-1,land,-1,64.658,-40.551,False,216350,-2780650
131,135865,-1,,,-1,-1,land,-1,64.648,-40.413,False,223150,-2781250
132,135938,-1,,,-1,-1,land,4,64.638,-40.612,False,213550,-2783150
133,135960,-1,,,-1,-1,land,-1,64.630,-40.538,False,217250,-2783750
134,135961,-1,,,-1,-1,land,63,64.624,-40.358,False,226050,-2783750
135,135990,-1,,,-1,-1,land,-1,64.627,-40.616,False,213450,-2784450
136,136011,-1,,,-1,-1,land,-1,64.624,-40.615,False,213550,-2784750
137,136042,-1,,,-1,-1,land,0,64.615,-40.483,False,220050,-2785250
138,136048,-1,,,-1,-1,land,-1,64.610,-40.358,False,226150,-2785350
139,136056,-1,,,-1,-1,land,11,64.613,-40.458,False,221250,-2785450
140,136119,-1,,,-1,-1,land,53,64.604,-40.421,False,223150,-2786250
141,136210,-1,,,-1,-1,land,-1,64.601,-40.588,False,215050,-2787250
142,136211,-1,,,-1,-1,land,1,64.594,-40.374,False,225550,-2787250
143,136239,-1,,,-1,-1,land,2,64.595,-40.499,False,219450,-2787550
144,136241,-1,,,-1,-1,land,1,64.591,-40.376,False,225450,-2787550
145,136325,-1,,,-1,-1,land,-1,64.586,-40.509,False,219050,-2788650
146,136348,-1,,,-1,-1,land,-1,64.585,-40.585,False,215350,-2789050
147,136387,-1,,,-1,-1,land,-1,64.573,-40.373,False,225750,-2789650
148,136398,-1,,,-1,-1,land,-1,64.578,-40.582,False,215550,-2789850
149,136422,-1,,,-1,-1,land,3,64.570,-40.436,False,222750,-2790150
150,136458,-1,,,-1,-1,land,-1,64.567,-40.440,False,222550,-2790550
151,136476,-1,,,-1,-1,land,3,64.570,-40.573,False,216050,-2790750
152,136621,-1,,,-1,-1,land,2,64.548,-40.448,False,222350,-2792750
153,136637,-1,,,-1,-1,land,-1,64.550,-40.569,False,216450,-2792950
154,136675,-1,,,-1,-1,land,1,64.541,-40.420,False,223750,-2793450
155,136691,-1,,,-1,-1,land,-1,64.538,-40.411,False,224250,-2793750
156,136720,-1,,,-1,-1,land,-1,64.540,-40.558,False,217050,-2794050
157,136721,-1,,,-1,-1,land,-1,64.534,-40.393,False,225150,-2794050
158,136732,-1,,,-1,-1,land,-1,64.531,-40.328,False,228350,-2794150
159,136744,-1,,,-1,-1,land,-1,64.536,-40.481,False,220850,-2794250
160,136745,-1,,,-1,-1,land,14,64.532,-40.383,False,225650,-2794250
161,136746,-1,,,-1,-1,land,5,64.532,-40.373,False,226150,-2794250
162,136776,-1,,,-1,-1,land,3,64.527,-40.319,False,228850,-2794650
163,136822,-1,,,-1,-1,land,-1,64.529,-40.558,False,217150,-2795250
164,136824,-1,,,-1,-1,land,3,64.519,-40.267,False,231450,-2795250
165,136837,-1,,,-1,-1,land,-1,64.525,-40.483,False,220850,-2795450
166,136854,-1,,,-1,-1,land,-1,64.517,-40.312,False,229250,-2795650
167,136862,-1,,,-1,-1,land,31,64.515,-40.257,False,231950,-2795750
168,136910,-1,,,-1,-1,land,-1,64.516,-40.562,False,217050,-2796850
169,136924,-1,,,-1,-1,land,8,64.503,-40.241,False,232850,-2797050
170,136939,-1,,,-1,-1,land,3,64.509,-40.492,False,220550,-2797350
171,136956,-1,,,-1,-1,land,-1,64.497,-40.212,False,234350,-2797550
172,137016,-1,,,-1,-1,land,-1,64.488,-40.201,False,234950,-2798550
173,137138,-1,,,-1,-1,land,5,64.484,-40.511,False,219850,-2800250
174,137193,-1,,,-1,-1,land,15,64.476,-40.465,False,222150,-2800950
175,137206,-1,,,-1,-1,land,-139,64.480,-40.618,False,214650,-2801050
176,137304,-1,,,-1,-1,land,18,64.464,-40.439,False,223550,-2802250
177,137326,-1,,,-1,-1,land,41,64.452,-40.196,False,235550,-2802550
178,137337,-1,,,-1,-1,land,4,64.459,-40.409,False,225050,-2802650
179,137362,-1,,,-1,-1,land,-1,64.458,-40.430,False,224050,-2802850
180,137363,-1,,,-1,-1,land,1,64.457,-40.391,False,225950,-2802850
181,137395,-1,,,-1,-1,land,5,64.454,-40.386,False,226250,-2803150
182,137403,-1,,,-1,-1,land,3,64.452,-40.355,False,227750,-2803250
183,137432,-1,,,-1,-1,land,17,64.446,-40.297,False,230650,-2803650
184,137449,-1,,,-1,-1,land,5,64.445,-40.318,False,229650,-2803850
185,137467,-1,,,-1,-1,land,-1,64.442,-40.277,False,231650,-2804050
186,137499,-1,,,-1,-1,land,11,64.436,-40.193,False,235850,-2804350
187,137507,-1,,,-1,-1,land,9,64.450,-40.617,False,214950,-2804450
188,137529,-1,,,-1,-1,land,-1,64.447,-40.583,False,216650,-2804650
189,137530,-1,,,-1,-1,land,18,64.447,-40.565,False,217550,-2804650
190,137597,-1,,,-1,-1,land,-1,64.441,-40.535,False,219050,-2805150
191,137625,-1,,,-1,-1,land,-1,64.438,-40.515,False,220050,-2805450
192,137684,-1,,,-1,-1,land,18,64.432,-40.479,False,221850,-2805950
193,137692,-1,,,-1,-1,land,-1,64.431,-40.467,False,222450,-2806050
194,137753,-1,,,-1,-1,land,6,64.424,-40.450,False,223350,-2806750
