index,id,lon,lat,x,y,elev,Z2012_sector,Z2012_sector_dist,M2019_ID,M2019_ID_dist,M2019_basin,M2019_region,M2020_gate,M2020_gate_dist,B2015_name,B2015_dist,domain,upstream,coast_id,coast_lon,coast_lat,coast_x,coast_y
279,62483,-32.510,68.389,512150,-2312050,206,33,382,253,1726,KOLVEGLETSJER,CE,194,19298,Kælvegletsjer,5134,ice,False,94920,-32.495,68.392,512650,-2311550
280,62497,-31.962,68.341,535450,-2312250,681,32,487,256,0,ICE_CAPS_CE,CE,197,16081,Sidegletsjer,2074,ice,False,95571,-31.911,68.297,538650,-2316650
281,62503,-31.746,68.322,544650,-2312350,659,32,21,100,848,FREDERIKSBORG_GLETSCHER,CE,197,7084,Sidegletsjer,7184,ice,False,95623,-31.779,68.283,544350,-2316950
282,62512,-31.758,68.322,544150,-2312450,712,32,407,256,1046,ICE_CAPS_CE,CE,197,7591,Sidegletsjer,6680,ice,False,95623,-31.779,68.283,544350,-2316950
283,62531,-32.410,68.374,516550,-2312750,-43,33,3786,253,0,KOLVEGLETSJER,CE,200,20604,Kælvegletsjer,4157,ice,False,95068,-32.408,68.373,516650,-2312850
284,62535,-32.481,68.379,513550,-2312850,302,33,787,253,148,KOLVEGLETSJER,CE,200,20026,Kælvegletsjer,3825,ice,False,94979,-32.477,68.386,513550,-2312050
285,62536,-31.629,68.307,549750,-2312850,565,32,357,100,674,FREDERIKSBORG_GLETSCHER,CE,197,3121,Dobbeltgletsjeren,9477,ice,False,95630,-31.758,68.280,545250,-2317050
286,62550,-31.738,68.315,545150,-2313050,241,32,0,100,0,FREDERIKSBORG_GLETSCHER,CE,197,6869,Sidegletsjer,7683,ice,False,95623,-31.779,68.283,544350,-2316950
287,62555,-31.659,68.307,548550,-2313150,330,32,1275,100,0,FREDERIKSBORG_GLETSCHER,CE,197,4101,Dobbeltgletsjeren,9344,ice,False,95630,-31.758,68.280,545250,-2317050
288,62585,-32.510,68.376,512450,-2313450,791,33,0,253,572,KOLVEGLETSJER,CE,200,19360,Kælvegletsjer,3799,ice,False,94979,-32.477,68.386,513550,-2312050
289,62614,-32.389,68.364,517650,-2313750,17,33,4947,253,0,KOLVEGLETSJER,CE,200,19927,Kælvegletsjer,4002,ice,False,95182,-32.393,68.366,517450,-2313550
290,62615,-32.088,68.338,530450,-2313750,181,32,4923,256,1638,ICE_CAPS_CE,CE,197,21248,Sidegletsjer,7101,ice,False,95233,-32.098,68.337,530050,-2313950
291,62627,-32.359,68.360,518950,-2313850,-1,33,6247,253,915,KOLVEGLETSJER,CE,200,20254,Kælvegletsjer,4975,ice,False,95226,-32.359,68.360,518950,-2313850
292,62638,-32.560,68.376,510450,-2313950,1381,33,0,253,167,KOLVEGLETSJER,CE,194,18821,Kælvegletsjer,4977,ice,False,94979,-32.477,68.386,513550,-2312050
293,62639,-32.411,68.364,516750,-2313950,312,33,4106,253,0,KOLVEGLETSJER,CE,200,19489,Kælvegletsjer,3243,ice,False,95165,-32.399,68.367,517150,-2313450
294,62654,-31.618,68.294,550550,-2314150,1180,32,737,100,1990,FREDERIKSBORG_GLETSCHER,CE,197,4040,Dobbeltgletsjeren,8154,ice,False,95554,-31.652,68.275,549650,-2316550
295,62662,-32.472,68.366,514250,-2314250,389,33,1935,253,65,KOLVEGLETSJER,CE,200,18711,Kælvegletsjer,2289,ice,False,95007,-32.454,68.383,514550,-2312250
296,62671,-31.650,68.294,549250,-2314450,520,32,1965,100,983,FREDERIKSBORG_GLETSCHER,CE,197,4762,Dobbeltgletsjeren,7941,ice,False,95554,-31.652,68.275,549650,-2316550
