pointID,Fjord number,First observation date,Last observation date,Cumulative discharge (Gt),Cumulative error (Gt),Mean annual discharge rate (Gt/yr),Mean annual discharge rate error (Gt/yr),Mean hydroyear discharge rate (Gt/yr),Mean hydroyear discharge rate error (Gt/yr),Mean winter discharge rate (Gt/yr),Mean winter discharge rate error (Gt/yr),Mean spring discharge rate (Gt/yr),Mean spring discharge rate error (Gt/yr),Mean summer discharge rate (Gt/yr),Mean summer discharge rate error (Gt/yr),Mean autumn discharge rate (Gt/yr),Mean autumn discharge rate error (Gt/yr)
202,49,2015-01-15 00:00:00,2019-12-26 00:00:00,2.309,0.483,0.462,0.098,0.463,0.098,0.478,0.101,0.501,0.106,0.453,0.097,0.419,0.089
210,24,2015-01-01 00:00:00,2019-12-26 00:00:00,7.045,2.277,1.408,0.459,1.414,0.461,1.44,0.469,1.408,0.459,1.396,0.454,1.397,0.455
211,35,2015-04-01 00:00:00,2019-12-26 00:00:00,1.789,0.352,0.358,0.071,0.36,0.072,0.352,0.068,0.36,0.072,0.373,0.074,0.348,0.07
212,41,2015-01-30 00:00:00,2019-12-26 00:00:00,2.642,0.27,0.528,0.055,0.53,0.055,0.522,0.054,0.536,0.055,0.546,0.056,0.514,0.053
213,42,2015-01-15 00:00:00,2019-12-26 00:00:00,5.413,0.134,1.082,0.027,1.088,0.027,1.074,0.027,1.081,0.027,1.102,0.028,1.08,0.027
214,43,2015-01-15 00:00:00,2019-12-26 00:00:00,3.855,0.392,0.771,0.079,0.771,0.079,0.807,0.082,0.754,0.078,0.736,0.076,0.788,0.081
215,47,2015-01-15 00:00:00,2019-12-26 00:00:00,9.732,0.512,1.945,0.103,1.957,0.104,1.961,0.104,1.938,0.103,1.921,0.102,1.979,0.106
317,41,2015-01-01 00:00:00,2019-12-26 00:00:00,14.857,1.237,2.97,0.251,2.983,0.252,2.905,0.243,2.962,0.249,3.067,0.261,2.967,0.251
318,41,2015-01-01 00:00:00,2019-12-26 00:00:00,5.56,0.196,1.112,0.04,1.12,0.04,1.125,0.041,1.097,0.04,1.094,0.039,1.139,0.041
319,41,2015-01-01 00:00:00,2019-12-26 00:00:00,13.089,1.567,2.616,0.316,2.635,0.317,2.619,0.315,2.583,0.313,2.646,0.32,2.646,0.318
320,45,2015-01-30 00:00:00,2019-12-26 00:00:00,2.726,1.053,0.545,0.212,0.55,0.214,0.565,0.22,0.555,0.215,0.523,0.204,0.543,0.213
800,18,2015-01-01 00:00:00,2019-12-29 00:00:00,3.836,0.112,0.767,0.023,0.77,0.023,0.783,0.023,0.786,0.023,0.751,0.022,0.749,0.022
801,18,2015-01-01 00:00:00,2019-12-29 00:00:00,0.943,0.336,0.188,0.068,0.185,0.067,0.189,0.068,0.206,0.074,0.186,0.067,0.169,0.061
802,18,2015-03-15 00:00:00,2019-12-26 00:00:00,0.343,0.11,0.068,0.022,0.067,0.022,0.067,0.021,0.077,0.025,0.069,0.022,0.06,0.02
803,24,2015-02-01 00:00:00,2019-12-26 00:00:00,0.238,0.082,0.048,0.017,0.047,0.017,0.048,0.017,0.048,0.017,0.048,0.017,0.046,0.016
804,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
805,50,2015-01-15 00:00:00,2019-12-26 00:00:00,0.703,0.045,0.14,0.009,0.141,0.009,0.139,0.009,0.14,0.009,0.138,0.009,0.145,0.009
